AudioFile,Category,Sentences,,,,,
spf351_1.wav,1,A round hole won’t take a square peg,,,,,
spf353_2.wav,1,Miss White would consider the mold,,,,,
spf354_5.wav,1,They want to know about the aim,,,,,
spf355_3.wav,1,The admiral commands the fleet,,,,,
spf356_1.wav,1,The bride wore a white gown,,,,,
spf357_4.wav,1,The woman discussed the  grain,,,,,
spf358_3.wav,1,You hope they asked about the vest,,,,,
spf359_4.wav,1,I can’t guess so give me a hint,,,,,
spf360_2.wav,1,Our seats were in the second row,,,,,
spf361_5.wav,1,We should have considered the juice,,,,,